row_id,position,variety,status,planted_date,age,height,last_pruned,last_harvest,yield_estimate,notes
R01,1,Honeycrisp,healthy,2020-04-15,5,3.2,2024-02-10,2024-09-15,45.5,Strong growth this season
R01,2,Gala,healthy,2020-04-15,5,3.0,2024-02-10,2024-09-20,38.2,Good yield and fruit quality
R01,3,Fuji,stressed,2019-03-20,6,2.8,2024-01-15,2024-09-10,25.0,Needs attention - possible pest damage
R01,4,Granny Smith,healthy,2020-04-15,5,3.1,2024-02-12,2024-09-25,42.0,Consistent performer
R01,5,Pink Lady,healthy,2020-04-15,5,3.3,2024-02-10,2024-09-28,48.5,Excellent color development
R02,1,Honeycrisp,healthy,2020-05-01,4,2.9,2024-02-15,2024-09-18,40.0,Young tree showing promise
R02,2,Gala,stressed,2019-03-20,6,2.5,2024-01-20,2024-09-12,22.5,Lower branch damage from storm
R02,3,Fuji,healthy,2020-05-01,4,3.0,2024-02-15,2024-09-22,43.0,Strong root system
R02,4,Jazz,healthy,2020-05-01,4,2.8,2024-02-15,2024-09-30,35.0,First full harvest this year
R02,5,Ambrosia,healthy,2020-05-01,4,3.1,2024-02-15,2024-10-02,39.5,Sweet flavor profile
R03,1,Honeycrisp,healthy,2018-03-10,7,3.8,2024-01-25,2024-09-08,55.0,Mature tree - peak production
R03,2,Gala,dead,2018-03-10,7,0.0,2023-02-01,,0.0,Removed due to fire blight
R03,3,Fuji,healthy,2018-03-10,7,3.7,2024-01-25,2024-09-14,52.5,High quality fruit
R03,4,Braeburn,healthy,2018-03-10,7,3.6,2024-01-25,2024-09-20,48.0,Good storage qualities
R03,5,Envy,stressed,2018-03-10,7,3.2,2024-01-25,2024-09-16,30.0,Nutrient deficiency suspected
R04,1,Honeycrisp,healthy,2021-04-20,3,2.5,2024-02-20,2024-09-24,28.0,Young tree establishing well
R04,2,Cosmic Crisp,healthy,2021-04-20,3,2.6,2024-02-20,2024-09-28,30.5,New variety - promising results
R04,3,SweeTango,healthy,2021-04-20,3,2.4,2024-02-20,2024-09-18,26.0,Early season harvest
R04,4,Gala,healthy,2021-04-20,3,2.5,2024-02-20,2024-09-22,27.5,Standard variety - reliable
R04,5,Fuji,healthy,2021-04-20,3,2.7,2024-02-20,2024-09-30,29.0,Late season harvest
R05,1,Honeycrisp,stressed,2019-05-15,5,2.6,2024-02-05,2024-09-20,20.0,Irrigation issues this summer
R05,2,Gala,healthy,2019-05-15,5,3.0,2024-02-05,2024-09-24,41.0,Recovered well from drought
R05,3,Pink Lady,healthy,2019-05-15,5,3.2,2024-02-05,2024-10-01,44.5,Extended growing season
R05,4,Granny Smith,healthy,2019-05-15,5,3.1,2024-02-05,2024-09-26,40.0,Good acid balance
R05,5,Golden Delicious,stressed,2019-05-15,5,2.7,2024-02-05,2024-09-22,23.5,Sunburn damage on south side
